District,Incumbent,Party,"First
elected",Result,Candidates
Oregon 2,Greg Walden,Republican,1998,Incumbent re-elected.," Greg Walden (Republican) 71.7%
John McColgan (Democratic) 25.7%
Jim Lindsay (Libertarian) 1.4%
Jack Alan Brown (Independent) 1.2%"
Oregon 3,Earl Blumenauer,Democratic,1996,Incumbent re-elected.," Earl Blumenauer (Democratic) 71.1%
Tami Mars (Republican) 23.7%
Walter F. Brown (S) 3.1%
Dale Winegarden (Independent) 2.1%"
Oregon 4,Peter DeFazio,Democratic,1986,Incumbent re-elected.," Peter DeFazio (Democratic) 61.0%
Jim Feldkamp (Republican) 37.6%
Jacob Boone (Libertarian) 0.9%
Michael Paul Marsh Constitution 0.5%"
Oregon 5,Darlene Hooley,Democratic,1996,Incumbent re-elected.," Darlene Hooley (Democratic) 52.9%
Jim Zupancic (Republican) 44.4%
Jerry Defoe (Libertarian) 1.9%
Joseph H. Bitz Constitution 0.8%"
Pennsylvania 1,Bob Brady,Democratic,1998,Incumbent re-elected.," Bob Brady (Democratic) 86.3%
Deborah Williams (Republican) 13.4%
Christopher Randolph (Independent) 0.3%"
Pennsylvania 2,Chaka Fattah,Democratic,1994,Incumbent re-elected.," Chaka Fattah (Democratic) 88.0%
Stewart Bolno (Republican) 12.0%"
Pennsylvania 3,Phil English,Republican,1994,Incumbent re-elected.," Phil English (Republican) 60.1%
Steven Porter (Democratic) 39.9%"
Pennsylvania 4,Melissa Hart,Republican,2000,Incumbent re-elected.," Melissa Hart (Republican) 63.1%
Stevan Drobac (Democratic) 35.9%
Steven B. Larchuk (Independent) 1.0%"
Pennsylvania 5,John E. Peterson,Republican,1996,Incumbent re-elected.," John E. Peterson (Republican) 88.0%
Tom Martin (Libertarian) 12.0%"
Pennsylvania 6,Jim Gerlach,Republican,2002,Incumbent re-elected.," Jim Gerlach (Republican) 51.0%
Lois Murphy (Democratic) 49.0%"
Pennsylvania 7,Curt Weldon,Republican,1986,Incumbent re-elected.," Curt Weldon (Republican) 58.8%
Paul Scoles (Democratic) 40.3%
David R. Jahn (Libertarian) 0.9%"
Pennsylvania 8,Jim Greenwood,Republican,1992,"Incumbent retired.
New member elected.
Republican hold."," Mike Fitzpatrick (Republican) 55.3%
Virginia Schrader (Democratic) 43.3%
Arthur L. Farnsworth (Libertarian) 1.1%
Erich Lukas Constitution 0.3%"
Pennsylvania 9,Bill Shuster,Republican,2001 (Special),Incumbent re-elected.," Bill Shuster (Republican) 69.5%
Paul Politis (Democratic) 30.5%"
Pennsylvania 10,Don Sherwood,Republican,1998,Incumbent re-elected.," Don Sherwood (Republican) 92.8%
Veronica Hannevig Constitution 7.2%"
Pennsylvania 11,Paul Kanjorski,Democratic,1984,Incumbent re-elected.," Paul Kanjorski (Democratic) 94.4%
Kenneth Brenneman (Independent) 5.6%"
Pennsylvania 12,John Murtha,Democratic,1974,Incumbent re-elected., John Murtha (Democratic) Unopposed
Pennsylvania 13,Joe Hoeffel,Democratic,1998,"Incumbent retired to run for U.S. Senator.
New member elected.
Democratic hold."," Allyson Schwartz (Democratic) 55.7%
Melissa Brown (Republican) 41.3%
John McDermott Constitution 1.7%
Chuck Moulton (Libertarian) 1.3%"
Pennsylvania 14,Mike Doyle,Democratic,1994,Incumbent re-elected., Mike Doyle Unopposed
Pennsylvania 15,Pat Toomey,Republican,1998,"Incumbent retired to run for U.S. Senator.
New member elected.
Republican hold."," Charlie Dent (Republican) 58.6%
Joe Driscoll (Democratic) 39.4%
Rich Piotrowski (Libertarian) 1.3%
Greta Browne (Green) 0.8%"
Pennsylvania 16,Joe Pitts,Republican,1996,Incumbent re-elected.," Joe Pitts (Republican) 64.4%
Lois Herr (Democratic) 34.5%
Bob Hagen (Green) 1.1%"
Pennsylvania 17,Tim Holden,Democratic,1992,Incumbent re-elected.," Tim Holden (Democratic) 59.1%
Scott Paterno (Republican) 38.9%
Russ Diamond (Libertarian) 2.0%"
Pennsylvania 18,Tim Murphy,Republican,2002,Incumbent re-elected.," Tim Murphy (Republican) 62.8%
Mark Boles (Democratic) 37.2%"
Pennsylvania 19,Todd Platts,Republican,2000,Incumbent re-elected.," Todd Platts (Republican) 91.5%
Charles J. Steel (Green) 3.6%
Michael L. Paoletta (Libertarian) 3.5%
Lester B. Searer Constitution 1.4%"
Rhode Island 1,Patrick Kennedy,Democratic,1994,Incumbent re-elected.," Patrick Kennedy (Democratic) 64.1%
David Rogers (Republican) 35.8%"
Rhode Island 2,Jim Langevin,Democratic,2000,Incumbent re-elected.," Jim Langevin (Democratic) 74.5%
Arthur Barton (Republican) 20.8%
Edward M. Morabito (Independent) 3.0%
Dorman J. Hayes (S) 1.6%"
South Carolina 1,Henry E. Brown Jr.,Republican,2000,Incumbent re-elected.," Henry E. Brown Jr. (Republican) 87.9%
James Dunn (Green) 12.1%"
South Carolina 2,Joe Wilson,Republican,2001 (Special),Incumbent re-elected.," Joe Wilson (Republican) 65.1%
Michael Ray Ellisor (Democratic) 33.3%
Steve Lefemine Constitution 1.6%"
South Carolina 3,J. Gresham Barrett,Republican,2002,Incumbent re-elected., J. Gresham Barrett (Republican) Unopposed
South Carolina 4,Jim DeMint,Republican,1998,"Incumbent retired to run for U.S. Senator.
New member elected.
Republican hold."," Bob Inglis (Republican) 69.8%
Brandon Brown (Democratic) 29.0%
C. Faye Walters (Green) 1.2%"
South Carolina 5,John Spratt,Democratic,1982,Incumbent re-elected.," John Spratt (Democratic) 63.1%
Albert Spencer (Republican) 36.9%"
South Carolina 6,Jim Clyburn,Democratic,1992,Incumbent re-elected.," Jim Clyburn (Democratic) 67.1%
Gary McLeod (Republican)Constitution 32.9%"
South Dakota at-large,Stephanie Herseth,Democratic,2004,Incumbent re-elected.," Stephanie Herseth (Democratic) 53.4%
Larry Diedrich (Republican) 45.9%
Terry Begay (Libertarian) 0.7%"
Tennessee 1,William L. Jenkins,Republican,1996,Incumbent re-elected.," William L. Jenkins (Republican) 73.9%
Graham Leonard (Democratic) 24.1%
Ralph Ball (Independent) 1.3%
Michael Peavler (Independent) 0.7%"
Tennessee 2,Jimmy Duncan Jr.,Republican,1998,Incumbent re-elected.," Jimmy Duncan Jr. (Republican) 79.1%
John Greene (Democratic) 19.1%
Charles Howard (Independent) 1.8%"
Tennessee 3,Zach Wamp,Republican,1994,Incumbent re-elected.," Zach Wamp (Republican) 64.7%
John Wolfe (Democratic) 32.8%
June Griffin (Independent) 1.2%
Doug Vandagriff (Independent) 0.7%
Jean Howard-Hill (Independent) 0.6%"
Tennessee 4,Lincoln Davis,Democratic,2002,Incumbent re-elected.," Lincoln Davis (Democratic) 54.8%
Janice Bowling (Republican) 43.5%
Ken Martin (Independent) 1.7%"
Tennessee 5,Jim Cooper,Democratic,2002,Incumbent re-elected.," Jim Cooper (Democratic) 69.3%
Scott Knapp (Republican) 30.7%"
Tennessee 6,Bart Gordon,Democratic,1984,Incumbent re-elected.," Bart Gordon (Democratic) 64.2%
Nick Demas (Republican) 33.6%
J. Patrick Lyons (Independent) 1.5%
Norman Saliba (Independent) 0.7%"
Tennessee 7,Marsha Blackburn,Republican,2002,Incumbent re-elected., Marsha Blackburn (Republican) Unopposed
Tennessee 8,John Tanner,Democratic,1988,Incumbent re-elected.," John Tanner (Democratic) 74.4%
James L. Hart (Republican) 25.6%"
Tennessee 9,Harold Ford Jr.,Democratic,1996,Incumbent re-elected.," Harold Ford Jr. (Democratic) 82.1%
Ruben Fort (Republican) 17.9%"
Texas 1,Max Sandlin,Democratic,1996,"Incumbent lost re-election.
New member elected.
Republican gain."," Louie Gohmert (Republican) 61.5%
Max Sandlin (Democratic) 37.7%
Dean L. Tucker (Libertarian) 0.8%"
Texas 2,"Nick Lampson
(Redistricted from the 9th district)",Democratic,1996,"Incumbent lost re-election.
New member elected.
Republican gain."," Ted Poe (Republican) 55.5%
Nick Lampson (Democratic) 42.9%
Sandi Saulsbury (Libertarian) 1.6%"
Texas 3,Sam Johnson,Republican,1991 (Special),Incumbent re-elected.," Sam Johnson (Republican) 85.6%
Paul Jenkins (Independent) 8.1%
James Vessels (Libertarian) 6.3%"
Texas 4,Ralph Hall,Republican,1980,Incumbent re-elected.," Ralph Hall (Republican) 68.2%
Jim Nickerson (Democratic) 30.4%
Kevin D. Anderson (Libertarian) 1.3%"
Texas 5,Jeb Hensarling,Republican,2002,Incumbent re-elected.," Jeb Hensarling (Republican) 64.5%
Bill Bernstein (Democratic) 32.9%
John Gonzalez (Libertarian) 2.6%"
Texas 6,Joe Barton,Republican,1984,Incumbent re-elected.," Joe Barton (Republican) 66.0%
Morris Meyer (Democratic) 32.7%
Stephen J. Schrader (Libertarian) 1.3%"
Texas 7,John Culberson,Republican,2000,Incumbent re-elected.," John Culberson (Republican) 64.1%
John Martinez (Democratic) 33.3%
Paul Staton (Independent) 1.4%
Drew P. Parks (Libertarian) 1.2%"
Texas 8,Kevin Brady,Republican,1996,Incumbent re-elected.," Kevin Brady (Republican) 68.9%
James Wright (Democratic) 29.7%
Paul Hansen (Libertarian) 1.4%"
,"Jim Turner
(Redistricted from the 2nd district)",Democratic,1996,"Incumbent retired.
New member elected.
Democratic loss.",
Texas 9,"Chris Bell
(Redistricted from the 25th district)",Democratic,2002,"Incumbent lost renomination.
New member elected.
Democratic hold."," Al Green (Democratic) 72.2%
Arlette Molina (Republican) 26.6%
Stacey Lynn Bourland (Libertarian) 1.2%"
Texas 10,New seat,,,"New seat
Republican gain."," Michael McCaul (Republican) 78.6%
Robert William Fritsche (Libertarian) 15.4%
Lorenzo Sadun (Write-in) 6.0%"
Texas 11,New seat,,,"New seat
Republican gain."," Mike Conaway (Republican) 76.8%
Wayne Raasch (Democratic) 21.8%
Jeffrey C. Blunt (Libertarian) 1.4%"
Texas 12,Kay Granger,Republican,1996,Incumbent re-elected.," Kay Granger (Republican) 72.3%
Felix Alvarado (Democratic) 27.7%"
Texas 13,Mac Thornberry,Republican,1994,Incumbent re-elected.," Mac Thornberry 92.3%
Marion Smith (Libertarian) 7.7%"
Texas 14,Ron Paul,Republican,1996,Incumbent re-elected., Ron Paul (Republican) Unopposed
Texas 15,Ruben Hinojosa,Democratic,1996,Incumbent re-elected.," Ruben Hinojosa (Democratic) 57.8%
Michael Thamm (Republican) 40.8%
William R. Cady (Libertarian) 1.4%"
Texas 16,Silvestre Reyes,Democratic,1996,Incumbent re-elected.," Silvestre Reyes (Democratic) 67.5%
David Bringham (Republican) 31.1%
Brad Clardy (Libertarian) 1.4%"
Texas 17,"Chet Edwards
(Redistricted from the 11th district)",Democratic,1990,Incumbent re-elected.," Chet Edwards (Democratic) 51.2%
Arlene Wohlgemuth (Republican) 47.4%
Clyde Garland (Libertarian) 1.4%"
Texas 18,Sheila Jackson Lee,Democratic,1994,Incumbent re-elected.," Sheila Jackson Lee (Democratic) 88.9%
Thomas Bazan (Independent) 6.4%
Brent Sullivan (Libertarian) 4.7%"
Texas 19,Randy Neugebauer,Republican,2003,Incumbent re-elected.," Randy Neugebauer (Republican) 58.4%
Charles Stenholm (Democratic) 40.1%
Richard Peterson (Libertarian) 1.5%"
,"Charles Stenholm
(Redistricted from the 17th district)",Democratic,1978,"Incumbent lost re-election.
New member elected.
Democratic loss",
Texas 20,Charlie Gonzalez,Democratic,1998,Incumbent re-elected.," Charlie Gonzalez (Democratic) 65.5%
Roger Scott (Republican) 32.0%
Jessie Bouley (Libertarian) 1.4%
Michael Idrogo (Independent) 1.1%"
Texas 21,Lamar S. Smith,Republican,1986,Incumbent re-elected.," Lamar S. Smith (Republican) 61.5%
Rhett Smith (Democratic) 35.5%
Jason Pratt (Libertarian) 3.0%"
Texas 22,Tom DeLay,Republican,1984,Incumbent re-elected.," Tom DeLay (Republican) 55.2%
Richard Morrison (Democratic) 41.1%
Michael Fjetland (Independent) 1.9%
Thomas Morrison (Libertarian) 1.8%"
Texas 23,Henry Bonilla,Republican,1992,Incumbent re-elected.," Henry Bonilla (Republican) 69.3%
Joe Sullivan (Democratic) 29.4%
Nazirite R. Flores Perez (Libertarian) 1.3%"
Texas 24,New seat,,,"New seat
Republican gain."," Kenny Marchant (Republican) 64.0%
Gary Page (Democratic) 34.2%
James Lawrence (Libertarian) 1.8%"
Texas 25,"Lloyd Doggett
(Redistricted from the 10th district)",Democratic,1994,Incumbent re-elected.," Lloyd Doggett (Democratic) 67.6%
Rebecca Armendariz Klein (Republican) 30.7%
James S. Werner (Libertarian) 1.7%"
Texas 26,Michael Burgess,Republican,2002,Incumbent re-elected.," Michael Burgess (Republican) 65.8%
Lico Reyes (Democratic) 32.7%
James Gholston (Libertarian) 1.5%"
Texas 27,Solomon Ortiz,Democratic,1982,Incumbent re-elected.," Solomon Ortiz (Democratic) 63.1%
Willie Vaden (Republican) 34.9%
Christopher J. Claytor (Libertarian) 2.0%"
Texas 28,Ciro Rodriguez,Democratic,1997 (Special),"Incumbent lost renomination.
New member elected.
Democratic hold."," Henry Cuellar (Democratic) 59.0%
Jim Hopson (Republican) 38.6%
Ken Ashby (Libertarian) 2.4%"
Texas 29,Gene Green,Democratic,1992,Incumbent re-elected.," Gene Green (Democratic) 94.1%
Clifford Lee Messina (Libertarian) 5.9%"
Texas 30,Eddie Bernice Johnson,Democratic,1992,Incumbent re-elected.," Eddie Bernice Johnson (Democratic) 93.0%
John Davis (Libertarian) 7.0%"
Texas 31,John Carter,Republican,2002,Incumbent re-elected.," John Carter (Republican) 64.8%
Jon Porter (Democratic) 32.4%
Celeste Adams (Libertarian) 2.8%"
Texas 32,Pete Sessions,Republican,1996,Incumbent re-elected.," Pete Sessions (Republican) 54.3%
Martin Frost (Democratic) 44.0%
Michael David Needleman (Libertarian) 1.7%"
,"Martin Frost
(Redistricted from the 24th district)",Democratic,1978,"Incumbent lost re-election.
New member elected.
Democratic loss",
Utah 1,Rob Bishop,Republican,2002,Incumbent re-elected.," Rob Bishop (Republican) 67.9%
Steve Thompson (Democratic) 29.1%
Charles Johnston Constitution 1.5%
Richard Soderberg (Personal Choice) 1.4%"
Utah 2,Jim Matheson,Democratic,2000,Incumbent re-elected.," Jim Matheson (Democratic) 54.8%
John Swallow (Republican) 43.2%
Jeremy Petersen Constitution 1.0%
Patrick Diehl (Green) 0.6%
Ronald Amos (Personal Choice) 0.4%"
Utah 3,Chris Cannon,Republican,1996,Incumbent re-elected.," Chris Cannon (Republican) 63.4%
Beau Babka (Democratic) 32.5%
Ronald Winfield Constitution 1.9%
Jim Dexter (Libertarian) 1.4%
Curtis James (Personal Choice) 0.9%"
Vermont at-large,Bernie Sanders,Independent,1990,Incumbent re-elected.," Bernie Sanders (Independent) 67.4%
Greg Parke (Republican) 24.3%
Larry Drown (Democratic) 7.1%
Jane Newton (Independent) 0.9%"
Virginia 1,Jo Ann Davis,Republican,2000,Incumbent re-elected.," Jo Ann Davis (Republican) 78.6%
William A. Lee (Independent) 20.0%"
Virginia 2,Ed Schrock,Republican,2000,"Incumbent retired.
New member elected.
Republican hold."," Thelma Drake (Republican) 55.1%
David Ashe (Democratic) 44.8%"
Virginia 3,Bobby Scott,Democratic,1992,Incumbent re-elected.," Bobby Scott (Democratic) 69.3%
Winsome Sears (Republican) 30.5%"
Virginia 4,Randy Forbes,Republican,2001 (Special),Incumbent re-elected.," Randy Forbes (Republican) 64.5%
Jonathan Menefee (Democratic) 35.5%"
Virginia 5,Virgil Goode,Republican,1996,Incumbent re-elected.," Virgil Goode (Republican) 63.7%
Al Weed (Democratic) 36.3%"
Virginia 6,Bob Goodlatte,Republican,1992,Incumbent re-elected., Bob Goodlatte (Republican) Unopposed
Virginia 7,Eric Cantor,Republican,2000,Incumbent re-elected.," Eric Cantor (Republican) 75.5%
Brad Blanton (Independent) 24.3%"
Virginia 8,Jim Moran,Democratic,1990,Incumbent re-elected.," Jim Moran (Democratic) 59.7%
Lisa Cheney (Republican) 36.9%
Jim Hurysz (Independent) 3.2%"
Virginia 9,Rick Boucher,Democratic,1982,Incumbent re-elected.," Rick Boucher (Democratic) 59.3%
Kevin Triplett (Republican) 38.9%
Seth Davis (Independent) 1.7%"
Virginia 10,Frank Wolf,Republican,1980,Incumbent re-elected.," Frank Wolf (Republican) 63.7%
James Socas (Democratic) 36.1%"
Virginia 11,Thomas M. Davis,Republican,1994,Incumbent re-elected.," Thomas M. Davis (Republican) 60.3%
Kenneth Longmeyer (Democratic) 38.3%
Joseph Oddo (Independent) 1.4%"
Washington 1,Jay Inslee,Democratic,1998,Incumbent re-elected.," Jay Inslee (Democratic) 62.3%
Randy Eastwood (Republican) 35.9%
Charles Moore (Libertarian) 1.8%"
Washington 2,Rick Larsen,Democratic,2000,Incumbent re-elected.," Rick Larsen (Democratic) 63.9%
Suzanne Sinclair (Republican) 33.7%
Bruce Guthrie (Libertarian) 2.5%"
Washington 3,Brian Baird,Democratic,1998,Incumbent re-elected.," Brian Baird (Democratic) 61.9%
Tom Crowson (Republican) 38.1%"
Washington 4,Doc Hastings,Republican,1994,Incumbent re-elected.," Doc Hastings (Republican) 62.6%
Sandy Matheson (Democratic) 37.4%"
Washington 5,George Nethercutt,Republican,1994,"Incumbent retired to run for U.S. Senator.
New member elected.
Republican hold."," Cathy McMorris (Republican) 59.7%
Don Barbieri (Democratic) 40.3%"
Washington 6,Norm Dicks,Democratic,1976,Incumbent re-elected.," Norm Dicks (Democratic) 69.0%
Doug Cloud (Republican) 31.0%"
Washington 7,Jim McDermott,Democratic,1988,Incumbent re-elected.," Jim McDermott (Democratic) 80.7%
Carol Cassady (Republican) 19.3%"
Washington 8,Jennifer Dunn,Republican,1992,"Incumbent retired.
New member elected.
Republican hold."," Dave Reichert (Republican) 51.5%
Dave Ross (Democratic) 46.7%
Spencer Garrett (Libertarian) 1.8%"
Washington 9,Adam Smith,Democratic,1996,Incumbent re-elected.," Adam Smith (Democratic) 63.3%
Paul J. Lord (Republican) 34.4%
Robert Losey (Green) 2.3%"
West Virginia 1,Alan Mollohan,Democratic,1982,Incumbent re-elected.," Alan Mollohan (Democratic) 67.8%
Alan Lee Parks (Republican) 32.2%"
West Virginia 2,Shelley Capito,Republican,2000,Incumbent re-elected.," Shelley Capito (Republican) 57.5%
Erik Wells (Democratic) 41.3%
Julian Martin (Independent) 1.2%"
West Virginia 3,Nick Rahall,Democratic,1976,Incumbent re-elected.," Nick Rahall (Democratic) 65.2%
Rick Snuffer (Republican) 34.8%"
Wisconsin 1,Paul Ryan,Republican,1998,Incumbent re-elected.," Paul Ryan (Republican) 65.4%
Jeffrey C. Thomas (Democratic) 32.6%
Norman Aulabaugh (Independent) 1.2%
Don Bernau (Libertarian) 0.8%"
Wisconsin 2,Tammy Baldwin,Democratic,1998,Incumbent re-elected.," Tammy Baldwin (Democratic) 63.3%
Dave Magnum (Republican) 36.7%"
Wisconsin 3,Ron Kind,Democratic,1996,Incumbent re-elected.," Ron Kind (Democratic) 56.4%
Dale Schultz (Republican) 43.6%"
Wisconsin 4,Jerry Kleczka,Democratic,1984,"Incumbent retired.
New member elected.
Democratic hold."," Gwen Moore (Democratic) 69.6%
Gerald H. Boyle (Republican) 28.2%
Tim Johnson (Independent) 1.2%
Robert R. Raymond (Independent) 0.6%
Collin Hudson Constitution 0.3%"
Wisconsin 5,Jim Sensenbrenner,Republican,1978,Incumbent re-elected.," Jim Sensenbrenner (Republican) 66.6%
Bryan Kennedy (Democratic) 31.8%
Tim Peterson (Libertarian) 1.6%"
Wisconsin 6,Tom Petri,Republican,1979 (Special),Incumbent re-elected.," Tom Petri (Republican) 67.0%
Jef Hall (Democratic) 30.1%
Carol Ann Rittenhouse (Green) 2.9%"
Wisconsin 7,Dave Obey,Democratic,1969 (Special),Incumbent re-elected.," Dave Obey (Democratic) 85.6%
Mike Miles (Green) 9.4%
Larry Oftedahl (Independent) 5.0%"
Wisconsin 8,Mark Green,Republican,1998,Incumbent re-elected.," Mark Green (Republican) 70.1%
Dottie LeClair (Democratic) 29.9%"
Wyoming at-large,Barbara Cubin,Republican,1994,Incumbent re-elected.," Barbara Cubin (Republican) 55.3%
Ted Ladd (Democratic) 41.9%
Lewis Stock (Libertarian) 2.8%"
